step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,signed_clearance,motor_m1,motor_m2,motor_m3,motor_m4
0.0,2.048,-1.2778058734485714e-17,-0.26666666666666666,0.014978264171574442,0.0,0.0,0.0,0.0,0.0,0.0,5.722341702976817e-17,0.0,0.0,0.0,0.54,3.3688655031861083,1.2963155141253617,135.36886705920824,135.36886705920824,135.36886705920824,135.36886705920824
1.0,2.08,-1.2365408642887174e-17,-0.26666666666666666,0.014978692294546193,1.2895315362454362e-17,0.0,1.3378842867220973e-05,0.0,0.0,0.0,7.328494053808969e-18,0.0,0.0,0.0,0.54,3.3688654161320386,1.2963154464146658,53.418153069805626,53.418153069805626,53.418153069805626,53.418153069805626
2.0,2.112,-1.2442403309529904e-17,-0.26666666666666666,0.01497904078053715,-2.4060833325853146e-18,0.0,1.0890187217391264e-05,0.0,0.0,0.0,-5.96054207407091e-17,0.0,0.0,0.0,0.54,3.368865345271306,1.2963153912992273,53.50216538169908,53.50216538169908,53.50216538169908,53.50216538169908
3.0,2.144,-1.2298851046740247e-17,-0.26666666666666666,0.014979327918025977,4.486008212176789e-18,0.0,8.973046525858472e-06,0.0,0.0,0.0,-1.317808092055998e-19,0.0,0.0,0.0,0.54,3.368865286885132,1.2963153458865417,53.58617540356075,53.58617540356075,53.58617540356075,53.58617540356075
4.0,2.176,-1.2477845648773247e-17,-0.26666666666666666,0.01497956833743803,-5.59358131353126e-18,0.0,7.5131066266335216e-06,0.0,0.0,0.0,-1.0493929993268665e-17,0.0,0.0,0.0,0.54,3.3688652379985706,1.2963153078626757,53.670183568132146,53.670183568132146,53.670183568132146,53.670183568132146
5.0,2.208,-1.254886005452229e-17,-0.26666666666666666,0.014979773742827775,-2.2192001796575824e-18,0.0,6.418918429553979e-06,0.0,0.0,0.0,3.805424982381962e-17,0.0,0.0,0.0,0.54,3.3688651962317264,1.2963152753765352,53.75419022122039,53.75419022122039,53.75419022122039,53.75419022122039
6.0,2.24,-1.2572332922542239e-17,-0.26666666666666666,0.014979953497210145,-7.335271256234067e-19,0.0,5.617324449070765e-06,0.0,0.0,0.0,7.569467053991388e-17,0.0,0.0,0.0,0.54,3.3688651596807326,1.2963152469472872,53.838195639086905,53.838195639086905,53.838195639086905,53.838195639086905
7.0,2.2720000000000002,-1.3221469636795353e-17,-0.26666666666666666,0.014980115090814169,-2.0285522320409795e-17,0.0,5.049800125744761e-06,0.0,0.0,0.0,9.044004497867698e-17,0.0,0.0,0.0,0.54,3.3688651268225325,1.2963152213902975,53.92220004235795,53.92220004235795,53.92220004235795,53.92220004235795
8.0,2.3040000000000003,-1.3594810568352457e-17,-0.26666666666666666,0.014980264515676751,-1.1666904111159483e-17,0.0,4.669526955695335e-06,0.0,0.0,0.0,7.921328262593581e-17,0.0,0.0,0.0,0.54,3.368865096438712,1.296315197757884,54.00620360715267,54.00620360715267,54.00620360715267,54.00620360715267
9.0,2.336,-1.3590561647340439e-17,-0.26666666666666666,0.01498040656531035,1.3277878162556615e-19,0.0,4.439051049973947e-06,0.0,0.0,0.0,6.246493383840591e-17,0.0,0.0,0.0,0.54,3.368865067554566,1.2963151752919218,54.09020647398543,54.09020647398543,54.09020647398543,54.09020647398543
10.0,2.368,-1.3948791636386326e-17,-0.26666666666666666,0.014980545074431292,-1.1194687157683978e-17,0.0,4.328410029431468e-06,0.0,0.0,0.0,5.97598884818206e-17,0.0,0.0,0.0,0.54,3.3688650393903474,1.2963151533859263,54.174208754887395,54.174208754887395,54.174208754887395,54.174208754887395
11.0,2.4,-1.400370037263565e-17,-0.26666666666666666,0.014980683110737728,-1.715898007791407e-18,0.0,4.313634576109684e-06,0.0,0.0,0.0,1.8226642088335765e-17,0.0,0.0,0.0,0.54,3.3688650113222756,1.2963151315547234,54.25821053910387,54.25821053910387,54.25821053910387,54.25821053910387
12.0,2.432,-1.4322054413945947e-17,-0.26666666666666666,0.014980823128328245,-9.948563790946713e-18,0.0,4.37554970364852e-06,0.0,0.0,0.0,9.787508077113202e-17,0.0,0.0,0.0,0.54,3.368864982851338,1.2963151094101841,54.34221189765181,54.34221189765181,54.34221189765181,54.34221189765181
13.0,2.464,-1.549736483546554e-17,-0.26666666666666666,0.014980967090433771,-3.672845067248723e-17,0.0,4.498815797703607e-06,0.0,0.0,0.0,7.75384949372512e-18,0.0,0.0,0.0,0.54,3.3688649535783353,1.296315086641814,54.42621288696582,54.42621288696582,54.42621288696582,54.42621288696582
14.0,2.496,-1.5913294226115873e-17,-0.26666666666666666,0.014981116567600697,-1.2997793457822912e-17,0.0,4.671161466418719e-06,0.0,0.0,0.0,2.231624262256079e-17,0.0,0.0,0.0,0.54,3.3688649231839163,1.2963150630012241,54.51021355181497,54.51021355181497,54.51021355181497,54.51021355181497
15.0,2.528,-1.6067125071576313e-17,-0.26666666666666666,0.014981272816235451,-4.8072139206387504e-18,0.0,4.8827698360801856e-06,0.0,0.0,0.0,-4.646789533387404e-17,0.0,0.0,0.0,0.54,3.368864891412606,1.2963150382897095,54.5942139276362,54.5942139276362,54.5942139276362,54.5942139276362
