step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,signed_clearance,motor_m1,motor_m2,motor_m3,motor_m4
0.0,2.048,-1.1772229919581596e-16,-3.5819561406517295e-17,0.014929504589417884,0.0,0.0,0.0,0.0,0.0,0.0,-3.187674678008965e-17,0.0,0.0,0.0,1.2046153846153846,3.413993628162355,1.6844779143557043,245.975627295121,245.975627295121,245.975627295121,245.975627295121
1.0,2.08,-1.1756144615734904e-16,-3.611945158156081e-17,0.014939685581365849,5.02665745209123e-18,-9.371567970109845e-18,0.00031815599837390593,0.0,0.0,0.0,-1.1708364032308428e-16,0.0,0.0,0.0,1.2046153846153846,3.4139900803710725,1.6844720166604628,60.27586406299788,60.27586406299788,60.27586406299788,60.27586406299788
2.0,2.112,-1.171273507321494e-16,-3.6674742590224865e-17,0.014947836172010188,1.356548203748884e-17,-1.73528440207517e-17,0.0002547059576355987,0.0,0.0,0.0,1.1156757901407316e-17,0.0,0.0,0.0,1.2046153846153846,3.4139872401371494,1.684467295170275,60.46644661504613,60.46644661504613,60.46644661504613,60.46644661504613
3.0,2.144,-1.175177192485221e-16,-3.580402624919351e-17,0.014954364840803374,-1.2199016136647011e-17,2.7209885657229746e-17,0.00020402089978706852,0.0,0.0,0.0,-1.3400291170240796e-16,0.0,0.0,0.0,1.2046153846153846,3.413984965106188,1.6844635132456713,60.656980516811316,60.656980516811316,60.656980516811316,60.656980516811316
4.0,2.176,-1.1629673669680217e-16,-3.5518163069606354e-17,0.014959598363327211,3.815570474124789e-17,8.933224362098717e-18,0.00016354757886990673,0.0,0.0,0.0,-7.553207126430048e-17,0.0,0.0,0.0,1.2046153846153846,3.4139831413999397,1.6844604815828301,60.84747547399104,60.847475473991025,60.847475473991025,60.84747547399104
5.0,2.208,-1.1587112478517966e-16,-3.625182433771094e-17,0.014963798153663405,1.3300372238203513e-17,-2.292691462826834e-17,0.00013124344800606016,0.0,0.0,0.0,-9.631211467331592e-18,0.0,0.0,0.0,1.2046153846153846,3.413981677919624,1.6844580487443923,61.03793925057585,61.03793925057587,61.03793925057587,61.03793925057585
6.0,2.24,-1.1731025290122398e-16,-3.582934053796653e-17,0.014967173337970456,-4.497275362638504e-17,1.3202618742012769e-17,0.00010547450959532584,0.0,0.0,0.0,-3.080457166920359e-18,0.0,0.0,0.0,1.2046153846153846,3.4139805017890117,1.6844560935847084,61.22837805722924,61.22837805722924,61.22837805722926,61.22837805722926
7.0,2.2720000000000002,-1.1617840950324715e-16,-3.597125316702241e-17,0.014969891213089767,3.537010618677591e-17,-4.43476965799615e-18,8.493359747848082e-05,0.0,0.0,0.0,-5.355157780057211e-17,0.0,0.0,0.0,1.2046153846153846,3.4139795547091945,1.6844545191904423,61.418796861982976,61.41879686198296,61.41879686198296,61.418796861982976
8.0,2.3040000000000003,-1.16089509431745e-16,-3.561654583037238e-17,0.01497208561322623,2.778127234442143e-18,1.108460427031339e-17,6.857500426445806e-05,0.0,0.0,0.0,1.8865101499784297e-17,0.0,0.0,0.0,1.2046153846153846,3.413978790042601,1.6844532480333436,61.60919963878803,61.60919963878804,61.60919963878804,61.60919963878803
9.0,2.336,-1.1609637959488082e-16,-3.489240277118071e-17,0.014973863603129233,-2.1469259799420948e-19,2.2629470599740055e-17,5.556218446884446e-05,0.0,0.0,0.0,-1.1307066495978744e-17,0.0,0.0,0.0,1.2046153846153846,3.4139781704803496,1.6844522180926589,61.799589566349965,61.799589566349965,61.799589566349965,61.799589566349965
10.0,2.368,-1.1655986948341797e-16,-3.4773002480707985e-17,0.014975310832506718,-1.4484059016786182e-17,3.7312590772725814e-18,4.52259180464269e-05,0.0,0.0,0.0,1.3111985835061745e-17,0.0,0.0,0.0,1.2046153846153846,3.413977666176235,1.6844513797532108,61.98996918719351,61.98996918719351,61.98996918719351,61.98996918719351
11.0,2.4,-1.1688287774602946e-16,-3.454319961154398e-17,0.014976495819451825,-1.009400820660886e-17,7.181339661375191e-18,3.7030842034587384e-05,0.0,0.0,0.0,2.0058811520548344e-17,0.0,0.0,0.0,1.2046153846153846,3.413977253253985,1.684450693323964,62.180340534911515,62.180340534911515,62.180340534911515,62.180340534911515
12.0,2.432,-1.1768241371299636e-16,-3.509891799107421e-17,0.014977473377100531,-2.4985498967715793e-17,-1.736619936031978e-17,3.0548676522061034e-05,0.0,0.0,0.0,-1.2597748505514072e-16,0.0,0.0,0.0,1.2046153846153846,3.413976912613117,1.684450127052953,62.37070523596071,62.37070523596071,62.37070523596071,62.37070523596071
13.0,2.464,-1.1613201266673533e-16,-3.5339322111796295e-17,0.014978287354890808,4.845003269565743e-17,-7.51262877256507e-18,2.5436805946136836e-05,0.0,0.0,0.0,-1.164403370663683e-17,0.0,0.0,0.0,1.2046153846153846,3.4139766289736633,1.6844496555392827,62.56106459109736,62.56106459109735,62.56106459109735,62.56106459109736
14.0,2.496,-1.16695528506796e-16,-3.551125160052858e-17,0.014978972831516415,-1.760987000189612e-17,-5.372796522883911e-18,2.1421144550228304e-05,0.0,0.0,0.0,-3.3928396316739355e-17,0.0,0.0,0.0,1.2046153846153846,3.413976390111976,1.684449258462767,62.75141964052348,62.751419640523494,62.751419640523494,62.75141964052348
15.0,2.528,-1.1818152416830456e-16,-3.51114985662635e-17,0.014979557869247075,-4.643736442214256e-17,1.249228232078381e-17,1.8282429083116784e-05,0.0,0.0,0.0,1.670250761151703e-17,0.0,0.0,0.0,1.2046153846153846,3.413976186249396,1.6844489195676795,62.941771216002905,62.941771216002905,62.941771216002905,62.941771216002905
16.0,2.56,-1.1659378397557122e-16,-3.510855658690176e-17,0.014980064917350358,4.961688102291691e-17,9.193685505429728e-20,1.5845253227618556e-05,0.0,0.0,0.0,-7.41403802418545e-17,0.0,0.0,0.0,1.2046153846153846,3.4139760095631964,1.6844486258497704,63.132119982552844,63.13211998255283,63.13211998255283,63.132119982552844
17.0,2.592,-1.1608028493766956e-16,-3.4610733691778744e-17,0.01498051193480176,1.6046844934426826e-17,1.5556965472594256e-17,1.3969295356314875e-05,0.0,0.0,0.0,4.160917491650106e-17,0.0,0.0,0.0,1.2046153846153846,3.4139758537953586,1.684448366905904,63.32246647179659,63.3224664717966,63.3224664717966,63.32246647179659
18.0,2.624,-1.173584941983948e-16,-3.455825605769399e-17,0.014980913288430838,-3.9944039397663544e-17,1.6399260651485105e-18,1.254230090868678e-05,0.0,0.0,0.0,-4.919288538109523e-17,0.0,0.0,0.0,1.2046153846153846,3.4139757139395943,1.684448134413782,63.51281110864481,63.51281110864481,63.51281110864481,63.51281110864481
19.0,2.656,-1.1777634309387005e-16,-3.425605217691907e-17,0.01498128047142058,-1.3057777983601622e-17,9.44387127421637e-18,1.1474468429399892e-05,0.0,0.0,0.0,-6.995976691022036e-17,0.0,0.0,0.0,1.2046153846153846,3.413975585990974,1.6844479217157327,63.703154232640365,63.70315423264035,63.70315423264035,63.703154232640365
20.0,2.688,-1.1739429032306663e-16,-3.3641034736626407e-17,0.01498162267809284,1.1939149087606839e-17,1.9219295009145623e-17,1.069395850816561e-05,0.0,0.0,0.0,-7.31020024722549e-18,0.0,0.0,0.0,1.2046153846153846,3.413975466745635,1.6844477234857513,63.893496115033244,63.893496115033244,63.893496115033244,63.893496115033244
21.0,2.72,-1.1762125861883592e-16,-3.2618967053186504e-17,0.014981947263725492,-7.092759242790306e-18,3.193961510749693e-17,1.0143301020350349e-05,0.0,0.0,0.0,-3.819873357883464e-17,0.0,0.0,0.0,1.2046153846153846,3.413975353640551,1.68444753546314,64.08383697244057,64.08383697244057,64.08383697244057,64.08383697244057
22.0,2.7520000000000002,-1.188608950822938e-16,-3.190450987804836e-17,0.014982260112397144,-3.873863948305887e-17,2.2326786723067004e-17,9.776520989144581e-06,0.0,0.0,0.0,1.2154617568038673e-16,0.0,0.0,0.0,1.2046153846153846,3.4139752446253535,1.6844473542394267,64.27417697777452,64.27417697777452,64.27417697777452,64.27417697777452
23.0,2.7840000000000003,-1.1770546042723582e-16,-3.1771875879702316e-17,0.014982565931255737,3.6107332970561954e-17,4.144812448313836e-18,9.556839331026088e-06,0.0,0.0,0.0,-9.228502160345582e-17,0.0,0.0,0.0,1.2046153846153846,3.413975138059788,1.6844471770879013,64.4645162689837,64.4645162689837,64.4645162689837,64.4645162689837
24.0,2.816,-1.1696088197125478e-16,-3.16854358527263e-17,0.014982868485927663,2.3268076749407836e-17,2.7012508430005252e-18,9.45483349766716e-06,0.0,0.0,0.0,-1.517981599503163e-17,0.0,0.0,0.0,1.2046153846153846,3.4139750326316833,1.6844470018272486,64.65485495604683,64.65485495604683,64.65485495604683,64.65485495604683
25.0,2.848,-1.178635484149982e-16,-3.17027920920133e-17,0.014983170788840476,-2.820832636698163e-17,-5.423824777186721e-19,9.446966025422601e-06,0.0,0.0,0.0,2.850894854256331e-17,0.0,0.0,0.0,1.2046153846153846,3.4139749272913305,1.6844468267124624,64.84519312656734,64.84519312656734,64.84519312656734,64.84519312656734
26.0,2.88,-1.1805416256196269e-16,-3.089612094972416e-17,0.014983475249877363,-5.956692092640395e-18,2.5208473196535538e-17,9.514407402720889e-06,0.0,0.0,0.0,-4.8110745408650936e-17,0.0,0.0,0.0,1.2046153846153846,3.413974821198982,1.6844466503475708,65.03553085024852,65.03553085024852,65.03553085024852,65.03553085024852
27.0,2.912,-1.1794408688634254e-16,-3.188514651401284e-17,0.014983783796897803,3.4398648631295667e-18,-3.0907048884021244e-17,9.642094388759631e-06,0.0,0.0,0.0,-7.03507987927334e-17,0.0,0.0,0.0,1.2046153846153846,3.4139747136828587,1.6844464716158254,65.22586818247439,65.22586818247439,65.22586818247439,65.22586818247439
28.0,2.944,-1.1742363848374895e-16,-3.2116207889167854e-17,0.014984097972151715,1.6264012581049825e-17,-7.220667973594154e-18,9.81797668473749e-06,0.0,0.0,0.0,1.3953629011577353e-17,0.0,0.0,0.0,1.2046153846153846,3.413974604205549,1.6844462896238501,65.41620516717329,65.41620516717329,65.41620516717329,65.41620516717329
29.0,2.976,-1.1729085038843654e-16,-3.1881550670781565e-17,0.014984419009408901,4.14962797851275e-18,7.333038074571517e-18,1.0032414287069582e-05,0.0,0.0,0.0,-4.7985604402557137e-17,0.0,0.0,0.0,1.2046153846153846,3.4139744923371365,1.6844461036569625,65.60654183910964,65.60654183910964,65.60654183910964,65.60654183910964
30.0,3.008,-1.1749665782412039e-16,-3.166626289066778e-17,0.014984747895661107,-6.431482365120241e-18,6.72774312855588e-18,1.0277695381441599e-05,0.0,0.0,0.0,-3.55550880175446e-17,0.0,0.0,0.0,1.2046153846153846,3.413974377733696,1.6844459131434308,65.7968782257168,65.7968782257168,65.7968782257168,65.7968782257168
31.0,3.04,-1.1778363625241948e-16,-3.2047794020236587e-17,0.014985085420482446,-8.968075884346824e-18,-1.1922847799025299e-17,1.0547650666835145e-05,0.0,0.0,0.0,-8.3286475638144935e-19,0.0,0.0,0.0,1.2046153846153846,3.4139742601200953,1.6844457176258825,65.98721434856333,65.98721434856333,65.98721434856333,65.98721434856333
32.0,3.072,-1.1828941017124529e-16,-3.223258934900757e-17,0.014985432215516781,-1.5805434963306317e-17,-5.774854024093131e-18,1.0837344822977106e-05,0.0,0.0,0.0,-9.921934053618486e-17,0.0,0.0,0.0,1.2046153846153846,3.4139741392762355,1.6844455167384287,66.17755022452621,66.17755022452621,66.17755022452621,66.17755022452621
33.0,3.104,-1.18587084127036e-16,-3.2176383368460075e-17,0.014985788786066864,-9.302311118459712e-18,1.7564368921091455e-18,1.1142829690088768e-05,0.0,0.0,0.0,-1.6602154710254408e-17,0.0,0.0,0.0,1.2046153846153846,3.413974015026041,1.6844453101883663,66.36788586672904,66.36788586672904,66.36788586672904,66.36788586672904
34.0,3.136,-1.1889677321033622e-16,-3.2128135407309625e-17,0.014986155536365028,-9.677783853131921e-18,1.5077487859515615e-18,1.146094681761825e-05,0.0,0.0,0.0,-1.1906475741541479e-17,0.0,0.0,0.0,1.2046153846153846,3.4139738872286567,1.6844450977415408,66.55822128529309,66.55822128529309,66.55822128529309,66.55822128529309
