step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,motor_m1,motor_m2,motor_m3,motor_m4
0.0,2.048,-1.2,-0.9,0.01498037372817166,0.0,0.0,0.0,0.0,0.0,0.0,-1.748566095429861e-17,0.0,0.0,0.0,1.0,3.1575724321289433,211.9171160078948,211.9171160078948,211.9171160078948,211.9171160078948
1.0,2.08,-1.2,-0.9,0.014980379898612634,0.0,0.0,1.9282628044205841e-07,0.0,0.0,0.0,-1.0655164222399587e-16,0.0,0.0,0.0,1.0,3.1575724302040453,58.165401516302175,58.165401516302175,58.165401516302175,58.165401516302175
2.0,2.112,-1.2,-0.9,0.014980390830822041,0.0,0.0,3.4163154396344885e-07,0.0,0.0,0.0,1.1618437940042104e-16,0.0,0.0,0.0,1.0,3.157572426793691,58.32300380042085,58.32300380042085,58.32300380042085,58.32300380042085
3.0,2.144,-1.2,-0.9,0.014980407931879927,0.0,0.0,5.34408058929479e-07,0.0,0.0,0.0,2.4127941508012855e-17,0.0,0.0,0.0,1.0,3.1575724214589354,58.48060580025859,58.48060580025859,58.48060580025859,58.48060580025859
4.0,2.176,-1.2,-0.9,0.014980432327422532,0.0,0.0,7.623607064101243e-07,0.0,0.0,0.0,1.1601441859490556e-17,0.0,0.0,0.0,1.0,3.1575724138486314,58.63820754736754,58.63820754736754,58.63820754736754,58.63820754736754
5.0,2.208,-1.2,-0.9,0.014980464917936864,0.0,0.0,1.0184535728869132e-06,0.0,0.0,0.0,-3.322988318678336e-17,0.0,0.0,0.0,1.0,3.157572403681867,58.7958090666112,58.7958090666112,58.7958090666112,58.7958090666112
6.0,2.24,-1.2,-0.9,0.014980506423794936,0.0,0.0,1.2970580647400111e-06,0.0,0.0,0.0,-5.572204987722206e-17,0.0,0.0,0.0,1.0,3.15757239073392,58.953410377502344,58.953410377502344,58.953410377502344,58.953410377502344
7.0,2.2720000000000002,-1.2,-0.9,0.014980557421280282,0.0,0.0,1.5936714170550189e-06,0.0,0.0,0.0,5.78179660488626e-17,0.0,0.0,0.0,1.0,3.157572374825016,59.111011495273324,59.111011495273324,59.111011495273324,59.111011495273324
8.0,2.3040000000000003,-1.2,-0.9,0.014980618371408476,0.0,0.0,1.9046915060785801e-06,0.0,0.0,0.0,-1.7651117679079234e-17,0.0,0.0,0.0,1.0,3.1575723558113395,59.26861243173216,59.26861243173216,59.26861243173216,59.26861243173216
9.0,2.336,-1.2,-0.9,0.014980689642982967,0.0,0.0,2.2272367028475005e-06,0.0,0.0,0.0,-1.5954257874615185e-17,0.0,0.0,0.0,1.0,3.1575723335778414,59.426213195947575,59.426213195947575,59.426213195947575,59.426213195947575
