model,model_label,method,method_label,scenarios,success_count,success_rate,goal_reached_once_rate,mean_path_length,mean_time_to_goal_steps,mean_time_to_goal_seconds,mean_final_goal_distance,mean_min_clearance,worst_min_clearance,collision_rate,safety_violation_rate,mean_speed,mean_path_efficiency,dominant_status
dynamic_double_integrator_2d,2D double integrator,apf,APF,6,4,0.667,0.667,31.346,1396.8,27.94,15.777,1.056,0.838,0.000,0.000,0.577,0.734,completed
dynamic_double_integrator_2d,2D double integrator,haddadin,Haddadin,6,2,0.333,0.333,10.175,1316.5,26.33,4.382,0.204,-0.025,0.667,0.667,0.944,0.904,completed
dynamic_double_integrator_2d,2D double integrator,paper_geometric,MFI-Geometric,6,5,0.833,0.833,19.243,1134.2,22.68,0.181,1.048,0.483,0.000,0.000,0.570,0.695,completed
dynamic_double_integrator_2d,2D double integrator,paper_pd,MFI-PD,6,5,0.833,0.833,18.562,1916.2,38.32,0.884,0.912,0.299,0.000,0.000,0.411,0.676,completed
dynamic_double_integrator_2d,2D double integrator,sabattini,Sabattini,6,0,0.000,0.000,5.977,-,-,6.962,-0.006,-0.010,1.000,1.000,1.075,1.000,completed
dynamic_differential_drive_2d,2D differential drive,apf,APF,6,5,0.833,0.833,18.770,3487.8,69.76,0.274,1.304,0.929,0.000,0.000,0.216,0.745,completed
dynamic_differential_drive_2d,2D differential drive,haddadin,Haddadin,6,5,0.833,0.833,12.092,3106.8,62.14,1.414,0.768,-0.002,0.167,0.167,0.256,0.961,completed
dynamic_differential_drive_2d,2D differential drive,paper_geometric,MFI-Geometric,6,4,0.667,0.667,10.299,5516.2,110.33,2.770,2.851,-0.007,0.167,0.167,0.104,0.967,completed
dynamic_differential_drive_2d,2D differential drive,paper_pd,MFI-PD,6,4,0.667,0.667,11.848,4260.8,85.22,2.446,1.972,-0.014,0.167,0.167,0.178,0.922,completed
dynamic_differential_drive_2d,2D differential drive,sabattini,Sabattini,6,3,0.500,0.500,9.299,2883.0,57.66,3.640,0.375,-0.018,0.500,0.500,0.390,1.000,completed
dynamic_double_integrator_3d,3D double integrator,apf_3d,APF,5,3,0.600,0.600,34.721,2123.0,42.46,20.531,1.820,1.321,0.000,0.000,0.415,0.726,completed
dynamic_double_integrator_3d,3D double integrator,haddadin_3d,Haddadin,5,3,0.600,0.600,13.287,2833.8,56.68,1.610,0.631,-0.009,0.400,0.400,0.357,0.833,completed
dynamic_double_integrator_3d,3D double integrator,paper_geometric_3d,MFI-Geometric,5,3,0.600,0.600,17.259,2643.7,52.87,3.002,3.157,-0.003,0.200,0.200,0.237,0.763,completed
dynamic_double_integrator_3d,3D double integrator,paper_pd_3d,MFI-PD,5,3,0.600,0.600,15.125,2639.3,52.79,2.145,2.251,-0.009,0.200,0.200,0.350,0.756,completed
dynamic_double_integrator_3d,3D double integrator,sabattini_3d,Sabattini,5,1,0.200,0.200,7.529,1458.0,29.16,4.541,0.123,-0.020,0.800,0.800,0.630,1.000,completed
dynamic_quadrotor_3d,3D quadrotor,apf_3d,APF,5,0,0.000,0.000,36.846,-,-,3.246,0.233,-0.089,0.600,0.600,1.081,0.515,completed
dynamic_quadrotor_3d,3D quadrotor,haddadin_3d,Haddadin,5,0,0.000,0.000,50.448,-,-,3.283,0.857,-0.015,0.400,0.400,1.030,0.436,completed
dynamic_quadrotor_3d,3D quadrotor,paper_geometric_3d,MFI-Geometric,5,2,0.400,0.400,24.132,1415.0,28.30,3.210,0.693,-0.012,0.600,0.600,1.387,0.457,completed
dynamic_quadrotor_3d,3D quadrotor,paper_pd_3d,MFI-PD,5,0,0.000,0.200,61.397,1136.0,22.72,1.314,0.962,-0.009,0.200,0.200,0.823,0.211,completed
dynamic_quadrotor_3d,3D quadrotor,sabattini_3d,Sabattini,5,0,0.000,0.000,36.944,-,-,3.071,0.349,-0.038,0.600,0.600,0.828,0.532,completed
webots_epuck_dynamic,Webots e-puck,apf,APF,6,4,0.667,0.667,8.292,1460.5,93.47,0.737,0.399,0.128,0.000,0.000,0.069,0.175,goal_reached
webots_epuck_dynamic,Webots e-puck,haddadin,Haddadin,6,5,0.833,0.833,0.990,482.3,30.87,0.300,0.224,0.007,0.000,0.167,0.026,0.831,goal_reached
webots_epuck_dynamic,Webots e-puck,paper_geometric,MFI-Geometric,6,3,0.500,0.500,1.356,416.5,26.66,0.336,0.223,-0.001,0.333,0.500,0.056,0.668,goal_reached
